Method,Name of the  Feature,Availability,Standard,Custom,S2S,Lending,Ecommerce,Travel,Gaming,Investments,DMT,Insurance,OTT,Government,Cross Borders - Export Flow,Cross Borders - Import Flow
Cards,Dynamic routing,Feature Request,No Merchant Effort,No Merchant Effort,No Merchant Effort,Must have,Must have,Must have,Must have,Limited Usecase,Must have,Must have,Must have,Must have,Product Limitation,Product Limitation
,>= 2 Terminals ,Internal request,No Merchant Effort,No Merchant Effort,No Merchant Effort,Must have,Must have,Must have,Must have,Limited Usecase,Must have,Must have,Must have,Must have,Product Limitation,Product Limitation
,Native OTP,Feature Request,No Merchant Effort,Merchant Effort Required,Merchant Effort Required,Must have,Must have,Must have,Must have,Limited Usecase,Must have,Must have,Must have,Must have,Must have,Must have
,Tokenization through saved cards ,Feature Request,No Merchant Effort,Merchant Effort Required,Merchant Effort Required,Good to have ,Must have,Must have,Must have,Limited Usecase,Good to have ,Good to have ,Must have,Must have,Must have,Must have
,PAR APIs,Feature Request,Merchant Effort Required,Merchant Effort Required,Merchant Effort Required,Limited Usecase,Must have,Must have,Good to have ,Limited Usecase,Limited Usecase,Limited Usecase,Good to have ,Limited Usecase,Good to have ,Good to have 
,"CVV less flow (Amex,Visa)",Default,No Merchant Effort,Merchant Effort Required,Merchant Effort Required,Good to have ,Must have,Must have,Must have,Limited Usecase,Limited Usecase,Good to have ,Must have,Must have,Must have,Must have
,CVV less flow (MC),Experiment,No Merchant Effort,Merchant Effort Required,Merchant Effort Required,Good to have ,Must have,Must have,Must have,Limited Usecase,Limited Usecase,Good to have ,Must have,Must have,Must have,Must have
,Issuer Tokensiation ,Internal request,No Merchant Effort,Merchant Effort Required,Merchant Effort Required,Limited Usecase,Must have,Must have,Must have,Limited Usecase,No Usecase,Good to have ,Must have,Limited Usecase,No Usecase,Must have
,BEPG - Rupay,Default,No Merchant Effort,No Merchant Effort,No Merchant Effort,Good to have ,Must have,Must have,Must have,Limited Usecase,Good to have ,Good to have ,Must have,Good to have ,No Usecase,Must have
,SR on Merchant Dashboard ,Tag,No Merchant Effort,No Merchant Effort,No Merchant Effort,Must have,Must have,Must have,Must have,Limited Usecase,Must have,Must have,Must have,Must have,Must have,Must have
,Gateway Error Code,Default,Merchant Effort Required,Merchant Effort Required,Merchant Effort Required,Limited Usecase,Limited Usecase,Limited Usecase,Limited Usecase,Limited Usecase,Limited Usecase,Limited Usecase,Limited Usecase,Limited Usecase,Limited Usecase,Limited Usecase
,s2s without cards,Feature Request,No use case,No use case,Merchant Effort Required,Limited Usecase,Limited Usecase,Limited Usecase,Limited Usecase,Limited Usecase,Limited Usecase,Limited Usecase,Limited Usecase,Limited Usecase,No Usecase,Limited Usecase
,MOTO Payments,Feature Request,Feature NA,Feature NA,Merchant Effort Required,No Usecase,Good to have ,Good to have ,Limited Usecase,Limited Usecase,No Usecase,No Usecase,Good to have ,No Usecase,Limited Usecase,Limited Usecase
,"Debit Card EMI (HDFC, KKBK, INDB)",Internal request,No Merchant Effort,Merchant Effort Required,Merchant Effort Required,No Usecase,Must have,Must have,Good to have ,Limited Usecase,Limited Usecase,Must have,Good to have ,Must have,Good to have ,Good to have 
Cards Recurring,Hitachi Terminal,Default,No Merchant Effort,No Merchant Effort,No Merchant Effort,Limited Usecase,Must have,Limited Usecase,Limited Usecase,Limited Usecase,No Usecase,Must have,Must have,Limited Usecase,Must have,Must have
,SI Hub Whitelisting,Feature Request,No Merchant Effort,No Merchant Effort,No Merchant Effort,Limited Usecase,Must have,No Usecase,Limited Usecase,Limited Usecase,No Usecase,Must have,Must have,Limited Usecase,Must have,Must have
,SR on Merchant Dashboard ,Tag,No Merchant Effort,No Merchant Effort,No Merchant Effort,Limited Usecase,Must have,No Usecase,Limited Usecase,Limited Usecase,No Usecase,Must have,Must have,Limited Usecase,Must have,Must have
,Tokenisation (Rzp as TR),Feature Request,No Merchant Effort,Merchant Effort Required,Merchant Effort Required,Limited Usecase,Must have,No Usecase,Limited Usecase,Limited Usecase,No Usecase,Must have,Must have,Limited Usecase,Must have,Must have
,Limiting Payment instrument on checkout,Experiment,Merchant Effort Required,Merchant Effort Required,Merchant Effort Required,Limited Usecase,Limited Usecase,No Usecase,Limited Usecase,Limited Usecase,No Usecase,Limited Usecase,Limited Usecase,Limited Usecase,Limited Usecase,Limited Usecase
UPI/QR,QR on Checkout (Static QR),Default,No Merchant Effort,Merchant Effort Required,Merchant Effort Required,Good to have ,Must have,Must have,Must have,Must have,Must have,Must have,Must have,Must have,No Usecase,Must have
,QR via APIs (S2S + Dynamic QR),Default,Merchant Effort Required,Merchant Effort Required,Merchant Effort Required,Good to have ,Must have,Must have,Must have,Product Limitation,Must have,Must have,Must have,Must have,No Usecase,Must have
,Dynamic routing,Feature Request,No Merchant Effort,No Merchant Effort,No Merchant Effort,Must have,Must have,Must have,Must have,Must have,Must have,Must have,Must have,Must have,No Usecase,Must have
,Validate VPA,Feature Request,No Merchant Effort,Merchant Effort Required,Merchant Effort Required,Must have,Must have,Must have,Must have,Must have,Must have,Must have,Must have,Must have,No Usecase,Must have
,Rupay CC on UPI,Default,No Merchant Effort,No Merchant Effort,No Merchant Effort,No Usecase,Must have,Must have,Good to have ,No Usecase,Must have,Good to have ,Must have,Must have,No Usecase,Good to have 
,Saved VPA ,Feature Request,No Merchant Effort,Merchant Effort Required,Merchant Effort Required,Must have,Must have,Must have,Must have,Must have,Must have,Good to have ,Must have,Must have,No Usecase,Good to have 
,Gpay half page SDK,Internal request,Merchant Effort Required,Merchant Effort Required,No use case,Good to have ,Must have,Good to have ,Good to have ,Good to have ,Must have,Good to have ,Must have,Must have,No Usecase,Good to have 
,UPI turbo ,Internal request,Merchant Effort Required,Merchant Effort Required,Merchant Effort Required,Good to have ,Must have,Must have,Good to have ,Must have,Must have,Good to have ,Must have,Good to have ,No Usecase,Good to have 
,> =2 Terminals ,Internal request,No Merchant Effort,No Merchant Effort,No Merchant Effort,Must have,Must have,Must have,Must have,Must have,Must have,Must have,Must have,Must have,No Usecase,Must have
,Gateway Error codes,Default,Merchant Effort Required,Merchant Effort Required,Merchant Effort Required,Limited Usecase,Limited Usecase,Limited Usecase,Limited Usecase,Limited Usecase,Limited Usecase,Limited Usecase,Limited Usecase,Limited Usecase,No Usecase,Limited Usecase
,SR on Merchant Dashboard ,Tag,No Merchant Effort,No Merchant Effort,No Merchant Effort,Must have,Must have,Must have,Must have,Must have,Must have,Must have,Must have,Must have,No Usecase,Must have
UPI Autopay,Dynamic routing,Feature Request,No Merchant Effort,No Merchant Effort,No Merchant Effort,Must have,Must have,Must have,Must have,Must have,Must have,Must have,Must have,Good to have ,No Usecase,Must have
,QR on Checkout - Desktop only,Default,No Merchant Effort,Merchant Effort Required,Merchant Effort Required,Good to have ,Good to have ,No Usecase,Limited Usecase,Good to have ,No Usecase,Good to have ,Good to have ,Limited Usecase,No Usecase,Good to have 
,UPI Intent - Android SDK,Experiment,Merchant Effort Required,Merchant Effort Required,Merchant Effort Required,Must have,Good to have ,No Usecase,Limited Usecase,Good to have ,No Usecase,Must have,Must have,Limited Usecase,No Usecase,Good to have 
,Saved VPA ,Feature Request,No Merchant Effort,Merchant Effort Required,Merchant Effort Required,Must have,Must have,Must have,Limited Usecase,Must have,No Usecase,Must have,Must have,Limited Usecase,No Usecase,Must have
,Dedicated terminal,Internal request,No Merchant Effort,No Merchant Effort,No Merchant Effort,Must have,Must have,No Usecase,Limited Usecase,Must have,No Usecase,Must have,Must have,Limited Usecase,No Usecase,Good to have 
,NPCI Error codes ,Internal request,Merchant Effort Required,Merchant Effort Required,Merchant Effort Required,Must have,Must have,No Usecase,Limited Usecase,Must have,No Usecase,Must have,Must have,Limited Usecase,No Usecase,Good to have 
,SR on Merchant Dashboard ,Tag,No Merchant Effort,No Merchant Effort,No Merchant Effort,Must have,Must have,No Usecase,Limited Usecase,Must have,No Usecase,Must have,Must have,Limited Usecase,No Usecase,Must have
Net Banking,Direct Terminals,Default,No Merchant Effort,No Merchant Effort,No Merchant Effort,Must have,Must have,Must have,Must have,Must have,Good to have ,Must have,Must have,Must have,No Usecase,Must have
,SR on Merchant Dashboard ,Tag,No Merchant Effort,No Merchant Effort,No Merchant Effort,Must have,Must have,Must have,Must have,Must have,Good to have ,Must have,Must have,Good to have ,No Usecase,Must have
,Gateway Error Code,Default,Merchant Effort Required,Merchant Effort Required,No Merchant Effort,Good to have ,Good to have ,Good to have ,Good to have ,Good to have ,Good to have ,Good to have ,Good to have ,Good to have ,No Usecase,Good to have 
Emandate,Direct Terminals (CUG),Internal request,No Merchant Effort,No Merchant Effort,No Merchant Effort,Limited Usecase,No Usecase,No Usecase,No Usecase,Good to have ,No Usecase,Limited Usecase,No Usecase,Limited Usecase,No Usecase,Limited Usecase
,Expose UMRN,Feature Request,No Merchant Effort,No Merchant Effort,No Merchant Effort,Good to have ,Limited Usecase,No Usecase,No Usecase,Good to have ,No Usecase,Limited Usecase,Limited Usecase,Limited Usecase,No Usecase,Good to have 
,Upload batch using UMRN,Feature Request,No Merchant Effort,No Merchant Effort,No Merchant Effort,Good to have ,Good to have ,No Usecase,No Usecase,Good to have ,No Usecase,Good to have ,Good to have ,Limited Usecase,No Usecase,Limited Usecase
,SR on Merchant Dashboard ,Tag,No Merchant Effort,No Merchant Effort,No Merchant Effort,Must have,Limited Usecase,No Usecase,No Usecase,Good to have ,No Usecase,Must have,Limited Usecase,Limited Usecase,No Usecase,Must have
BNPL & Cardless,Provider Level Terminals,Internal request,No Merchant Effort,No Merchant Effort,No Merchant Effort,No Usecase,Must have,Must have,No Usecase,No Usecase,No Usecase,Good to have ,Must have,Limited Usecase,No Usecase,Limited Usecase
,Eligibility APIs,Feature Request,No Merchant Effort,Merchant Effort Required,Merchant Effort Required,No Usecase,Must have,Must have,No Usecase,No Usecase,No Usecase,Limited Usecase,Must have,Limited Usecase,No Usecase,Limited Usecase
Smart Collect,Default expiry,Feature Request,No Merchant Effort,No Merchant Effort,No Merchant Effort,Good to have ,Limited Usecase,Limited Usecase,No Usecase,Good to have ,No Usecase,Good to have ,Limited Usecase,Good to have ,No Usecase,Limited Usecase
,Configurable expiry,Internal request,No Merchant Effort,No Merchant Effort,No Merchant Effort,Good to have ,Limited Usecase,Limited Usecase,No Usecase,Good to have ,No Usecase,Good to have ,Limited Usecase,Good to have ,No Usecase,Limited Usecase